produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
539133;8;381976;2021-04-14 17:30:42.174953;60.00;60.00;;1
539143;8;15226;2021-04-14 17:44:58.014545;429.00;429.00;;1
539252;8;381978;2021-04-15 11:40:02.315502;25.00;25.00;10.58;1
539254;8;381979;2021-04-15 11:41:13.697633;42.50;42.50;17.26;1
539311;8;321894;2021-04-15 15:24:52.103433;75.00;75.00;;1
539394;8;381984;2021-04-16 09:18:20.673167;190.00;190.00;100.38;1
539450;8;381986;2021-04-16 11:35:04.004354;35.00;35.00;;1
539609;95;344811;2021-05-10 12:40:12;120.00;120.00;;1
539707;8;381990;2021-04-19 12:47:27.293879;1939.80;1939.80;1060.00;1
539781;8;381991;2021-04-28 08:48:58.133185;10.00;10.00;;1
539869;8;261009;2021-04-20 08:25:09.89062;106.90;106.90;50.00;1
539894;8;381994;2021-04-19 19:28:40.679627;419.00;419.00;;1
540041;8;281213;2021-04-20 15:50:10.064919;149.00;149.00;;1
540044;8;382006;2021-04-20 16:00:05.906303;449.00;449.00;;1
540163;8;382009;2021-04-22 10:31:17.026264;410.00;410.00;216.00;1
540548;8;372534;2021-04-23 15:33:37.144826;19.99;19.99;;1
540661;8;382024;2021-04-26 11:27:53.291428;2179.00;2179.00;;1
540828;8;283584;2021-04-26 15:28:22.838249;109.00;109.00;;1
540831;8;378706;2021-04-26 15:41:43.82837;102.00;102.00;;1
540855;8;280993;2021-04-26 15:46:23.64152;2159.00;2159.00;;1
540858;8;382059;2021-04-26 16:04:40.24751;165.00;165.00;;1
540874;8;382060;2021-04-26 16:17:06.046863;104.90;104.90;;1
540927;8;382061;2021-04-26 17:16:02.094962;144.90;144.90;;1
540954;8;12228;2021-04-26 18:40:24.796567;79.99;79.99;;1
540959;8;12227;2021-04-26 18:48:16.236811;79.99;79.99;;1
541072;8;382066;2021-04-27 13:51:40.616898;150.00;150.00;79.00;1
541094;8;250586;2021-04-27 15:16:51.850763;199.99;199.99;;1
541104;8;381842;2021-04-27 15:48:22.708958;361.00;361.00;190.00;1
541408;8;380719;2021-04-28 15:52:04.862142;209.00;209.00;;1
541411;8;380720;2021-04-28 15:57:25.45403;209.00;209.00;;1
541637;8;284035;2021-04-29 16:51:17.588753;20.00;20.00;;1
541710;8;382090;2021-04-30 11:53:26.546671;2400.00;2400.00;1.31;1
541727;8;382091;2021-04-30 12:57:41.675625;245.00;245.00;;1
541782;8;256052;2021-05-10 19:21:18.450413;100.00;100.00;;1
541785;8;256051;2021-05-10 11:10:53.55708;100.00;100.00;;1
541852;8;382093;2021-04-30 17:45:42.139655;179.00;179.00;;1
541865;8;234367;2021-04-30 18:12:19.344263;999.00;999.00;;1
542004;8;304686;2021-05-03 14:57:20.636255;435.00;435.00;;1
542195;96;351109;2021-05-10 18:30:17;25.00;25.00;;1
542390;8;382142;2021-05-04 17:35:48.918097;328.47;328.47;172.88;1
542444;8;382143;2021-05-05 10:11:10.911967;30.00;30.00;12.00;1
542448;8;382144;2021-05-05 10:30:41.493889;1165.50;1165.50;630.00;1
542474;8;311174;2021-05-05 11:58:48.060886;1299.00;1299.00;;1
542530;8;382146;2021-05-05 16:20:13.679015;369.99;369.99;;1
542533;8;382147;2021-05-05 16:24:10.874664;369.99;369.99;;1
542580;8;56485;2021-05-05 18:31:32.635185;649.00;649.00;;1
542583;8;228912;2021-05-05 18:32:19.358205;649.00;649.00;;1
542586;8;382151;2021-05-06 08:32:21.734818;279.77;279.77;147.25;1
542752;8;382153;2021-05-06 15:21:51.173285;85.00;85.00;;1
542851;8;32371;2021-05-07 10:32:17.8573;24.90;24.90;;1
542854;8;297658;2021-05-07 10:35:08.224599;24.90;24.90;;1
542905;8;240059;2021-05-07 14:37:24.105492;3749.00;3749.00;;1
542916;8;382160;2021-05-07 15:56:43.450826;291.23;291.23;153.28;1
542991;8;257971;2021-05-10 09:36:32.718543;159.99;159.99;;1
543027;96;254157;2021-05-10 11:27:44;189.00;189.00;;1
543035;8;382165;2021-05-10 11:05:44.331187;180.00;180.00;;1
543047;96;341772;2021-05-11 15:58:31;289.00;289.00;;1
543217;8;382167;2021-05-10 17:52:29.315461;85.00;85.00;;1
543232;8;374952;2021-05-10 18:09:29.320904;75.00;75.00;;1
543235;8;374953;2021-05-10 18:13:03.812763;75.00;75.00;;1
543335;8;382168;2021-05-11 10:25:58.434245;1461.50;1461.50;790.00;1
543337;8;382169;2021-05-11 10:44:45.723933;171.00;171.00;90.00;1
543349;8;382172;2021-05-11 11:41:21.94912;54.75;54.75;21.90;1
543367;8;382175;2021-05-11 12:39:32.559125;159.22;159.22;83.80;1
543383;8;382176;2021-05-11 13:23:08.108962;105.00;105.00;;1
543388;8;382177;2021-05-11 13:26:57.234453;105.00;105.00;;1
543391;8;382178;2021-05-11 13:36:07.260908;100.00;100.00;;1
543394;8;382179;2021-05-11 13:39:56.526524;100.00;100.00;;1
543487;96;311212;2021-05-12 16:32:00;119.00;119.00;;1
543545;8;382186;2021-05-12 09:38:52.578805;237.50;237.50;125.00;1
543629;8;382188;2021-05-12 15:35:05.074357;1041.60;1041.60;560.00;1
